id,birthdate,department,sex,panel,speed_test_average,leave_date,leave_reason
14225,1972-08-01,94,F,1,3963548,2018-03-22,exit
14226,1974-10-01,69,F,1,2752266,,
14227,1952-09-01,32,F,1,1142051,2017-04-28,exit
14228,1987-11-01,74,F,1,2407357,,
14229,1965-11-01,60,F,1,3425063,2018-11-21,exit
14230,1974-04-01,91,M,1,4548125,,
14231,1942-03-01,67,M,1,6285559,,
14232,1983-02-01,42,M,1,4126212,,
14233,1981-12-01,85,F,1,3286890,,
14234,1951-03-01,76,M,1,3227978,,
14235,1971-02-01,94,F,1,3676771,,
14236,1959-10-01,91,F,1,706641,2015-09-21,exit
14237,1958-11-01,26,M,1,2489479,,
14238,1956-08-01,85,F,1,3357700,,
14239,1971-05-01,57,F,1,5203124,,
14240,1945-07-01,69,M,1,3013377,,
14241,1964-08-01,92,F,1,6056452,,
14242,1974-10-01,13,M,1,2399030,,
14243,1959-04-01,17,M,1,803873,,
14244,1972-07-01,54,M,1,1865208,,
14245,1973-03-01,59,F,1,5069150,,
14246,1964-01-01,10,M,1,3404372,,
14247,1961-12-01,50,M,1,1478768,,
14248,1963-02-01,93,M,1,1770133,2017-04-21,exit
14249,1989-02-01,78,M,1,2376585,2016-10-06,exclusion
14250,1978-03-01,57,F,1,0,2014-04-03,exclusion
14251,1969-07-01,94,M,1,3255345,,
14252,1990-07-01,93,F,1,6262865,2017-10-17,exclusion
14253,1983-09-01,24,M,1,2766656,,
14254,1987-03-01,92,M,1,3906880,,
14255,1967-03-01,31,M,1,3434448,,
14256,1965-02-01,76,M,1,4262830,2019-07-08,exit
14257,1960-04-01,13,F,1,3536191,2019-07-22,exit
14258,1972-01-01,72,F,1,2009731,,
14259,1972-02-01,63,M,1,3910073,,
14260,1954-01-01,58,M,1,2556146,,
14261,1992-10-01,80,F,1,0,2014-03-03,exclusion
14262,1978-05-01,31,M,1,2958076,,
14263,1978-07-01,39,F,1,4368899,,
14264,1980-02-01,59,F,1,0,2014-03-18,exclusion
14265,1948-11-01,67,F,1,2513022,,
14266,1975-04-01,54,M,1,3885064,,
14267,1984-04-01,69,F,1,4427485,,
14268,1992-06-01,59,M,1,3786906,,
14269,1977-09-01,59,M,1,3598448,,
14270,1974-04-01,12,M,1,2494148,2019-05-29,exit
14271,1972-11-01,06,M,1,2942705,,
14272,1967-04-01,57,M,1,3309828,,
14273,1984-02-01,73,M,1,0,2015-04-14,exclusion
14274,1980-01-01,31,F,1,2816354,2017-06-23,exit
14275,1982-10-01,92,F,1,2915428,,
14276,1979-06-01,12,M,1,2254527,,
14277,1988-02-01,94,M,1,0,2015-06-02,exit
14278,1962-06-01,77,F,1,2941380,,
14279,1993-06-01,64,F,1,2356463,2016-05-13,exit
14280,1941-12-01,69,M,1,4660778,,
14281,1974-04-01,66,M,1,2609880,,
14282,1984-08-01,93,F,1,5336488,,
14283,1982-08-01,50,F,1,2900198,,
