id,alt_id,title,start_date,end_date,firm_end_date,estimated_time,invitation_count
306,,Les relations entre générations,2014-02-06 15:00:00,2014-03-06 20:00:00,2014-05-31 12:00:00,25,984
307,,"Enquête Santé, Travail et Environnement",2013-12-12 08:00:00,2014-02-06 20:00:00,2014-05-31 12:00:00,30,993
308,,"Le couple, les enfants et la famille",2013-11-05 08:00:00,2013-12-10 20:00:00,2014-05-31 12:00:00,30,983
309,,Environnement & Énergie,2013-10-03 12:00:00,2013-11-07 20:00:00,2014-05-31 12:00:00,30,997
310,,"Loisirs culturels, médias et Internet",2013-06-06 08:00:00,2013-07-11 20:00:00,2014-05-31 12:00:00,30,1011
311,,"Pratiques, croyances et opinions",2013-05-02 08:00:00,2013-06-06 20:00:00,2014-05-31 12:00:00,20,1011
312,,Les élections européennes,2014-05-07 08:00:00,2014-05-23 18:00:00,2014-05-23 18:00:00,5,936
313,,Quelques questions sur l'Europe,2014-05-07 08:00:00,2014-06-05 00:00:00,2014-07-05 00:00:00,25,936
314,,Votre quartier / enjeux politiques,2013-02-27 14:00:00,2013-04-01 08:00:00,2014-05-31 12:00:00,15,731
315,,Vos conditions de vie,2013-04-04 08:00:00,2013-06-06 20:00:00,2014-05-31 12:00:00,20,1012
316,,"Fécondité, contraception, sexualité",2013-07-12 08:00:00,2013-09-05 16:00:00,2014-05-31 12:00:00,30,1005
317,,Les grands sujets de société et la vie citoyenne,2013-09-05 09:00:00,2013-10-07 18:00:00,2014-05-31 12:00:00,30,996
318,,Première enquête ELIPSS,2012-12-17 10:00:00,2014-03-06 20:00:00,2014-05-31 12:00:00,,943
319,,Vos conditions de vie en 2014,2014-03-06 08:00:00,2014-04-14 20:00:00,2014-05-31 12:00:00,25,953
320,,Les élections municipales,2014-03-06 08:00:00,2014-03-21 18:00:00,2014-03-21 18:00:00,5,945
321,,Questions générales sur la société française,2014-04-03 08:00:00,2014-05-12 18:00:00,2014-06-05 12:00:00,10,945
322,,Après les élections municipales,2014-04-03 08:00:00,2014-04-28 12:00:00,2014-06-05 12:00:00,5,945
323,,Après les élections de 2014,2014-06-05 08:00:00,2014-07-18 12:00:00,2014-08-18 23:00:00,25,937
324,,Votre opinion sur les familles,2014-06-05 08:00:00,2014-07-18 12:00:00,2014-08-18 23:00:00,5,937
